Socioeconomic Score,Study Hours,Sleep Hours,Attendance (%),Grades
0.85221,4.2,8.2,48.0,42.0
0.64748,7.5,8.5,77.0,52.0
0.44955,3.8,5.7,59.0,34.0
0.55288,6.8,8.4,50.0,47.0
0.79186,8.3,7.0,95.0,57.0
0.44637,8.1,8.5,72.0,54.0
0.47019,6.3,9.2,46.0,45.0
0.64256,6.9,9.2,66.0,49.0
0.99982,7.1,9.0,48.0,74.0
0.60294,2.9,6.7,46.0,34.0
0.59011,3.7,8.6,57.0,36.0
0.28471,5.7,5.6,58.0,39.0
0.7258,3.6,7.4,57.0,33.0
0.767,2.2,9.3,42.0,36.0
0.40969,3.4,8.9,55.0,33.0
0.99142,3.7,8.7,45.0,54.0
0.43684,4.0,9.3,64.0,34.0
0.78472,1.5,10.0,46.0,34.0
0.50745,4.3,5.8,52.0,34.0
0.79212,0.9,8.3,50.0,33.0
0.70098,7.2,9.3,50.0,53.0
0.8693,3.7,9.5,54.0,39.0
0.9453,3.1,9.6,49.0,44.0
0.62198,2.8,6.5,40.0,34.0
0.45877,3.7,8.0,77.0,35.0
0.26002,3.0,9.9,43.0,34.0
0.14612,8.8,7.6,93.0,59.0
0.32597,4.7,9.7,43.0,33.0
0.5497,1.2,5.8,48.0,34.0
0.77207,1.3,5.3,47.0,33.0
0.6064,3.6,9.8,59.0,34.0
0.17497,4.4,6.6,68.0,32.0
0.26702,0.8,8.3,49.0,33.0
0.2974,6.1,7.4,46.0,42.0
0.33208,1.0,7.9,57.0,35.0
0.60886,7.9,5.1,44.0,55.0
0.1608,3.4,7.1,59.0,35.0
0.25429,3.5,9.4,57.0,34.0
0.98594,3.9,10.0,60.0,52.0
0.52169,5.8,9.4,74.0,41.0
0.86388,7.4,9.6,48.0,62.0
0.56037,3.5,9.0,56.0,34.0
0.27348,3.3,9.9,41.0,34.0
0.71956,6.0,9.6,79.0,44.0
0.34515,1.2,8.7,47.0,35.0
0.84886,4.9,8.5,54.0,44.0
0.17535,3.9,6.1,61.0,34.0
0.79582,7.9,8.4,51.0,60.0
0.89307,3.0,8.5,85.0,35.0
0.37378,3.8,8.9,70.0,32.0
0.68895,3.8,9.6,69.0,35.0
0.42967,4.7,7.2,76.0,34.0
0.6809,3.9,8.9,71.0,34.0
0.13714,1.6,9.2,58.0,33.0
0.64817,7.8,6.4,49.0,54.0
0.44549,5.5,8.0,51.0,41.0
0.52466,4.9,6.5,63.0,37.0
0.88197,3.9,6.2,54.0,36.0
0.47336,3.5,7.3,61.0,34.0
0.58119,3.7,9.7,79.0,35.0
